"","chr_id","type","feature","start","stop","strand","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_version","transcript_name","transcript_source","transcript_biotype","tag","transcript_support_level","exon_number","exon_id","exon_version","protein_id","protein_version","ccds_id","is_poisonous_exon"
"ENSG00000001084.980303","6","havana","exon",53514439,53514532,"-","ENSG00000001084","13","GCLC","ensembl_havana","protein_coding","ENST00000504525","1","GCLC-202","havana","nonsense_mediated_decay",NA,"3","2","ENSE00002043528","1",NA,NA,NA,TRUE
"ENSG00000001626.1152019","7","havana","exon",117505155,117505228,"+","ENSG00000001626","15","CFTR","ensembl_havana","protein_coding","ENST00000647978","1","CFTR-214","havana","nonsense_mediated_decay",NA,NA,"3","ENSE00003840584","1",NA,NA,NA,TRUE
"ENSG00000001629.1118943","7","havana","exon",92325928,92326008,"+","ENSG00000001629","10","ANKIB1","ensembl_havana","protein_coding","ENST00000439883","1","ANKIB1-204","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00001796712","1",NA,NA,NA,TRUE
"ENSG00000001629.1118959","7","havana","exon",92347947,92348016,"+","ENSG00000001629","10","ANKIB1","ensembl_havana","protein_coding","ENST00000413588","1","ANKIB1-202","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00001726082","1",NA,NA,NA,TRUE
"ENSG00000002586.1191432","X","havana","exon",2737881,2738256,"+","ENSG00000002586","20","CD99","ensembl_havana","protein_coding","ENST00000381177","7","CD99-201","havana","nonsense_mediated_decay","cds_start_NF","2","2","ENSE00001487733","1",NA,NA,NA,TRUE
"ENSG00000002834.2397459","17","havana","exon",38896902,38897071,"+","ENSG00000002834","18","LASP1","ensembl_havana","protein_coding","ENST00000443937","7","LASP1-205","havana","nonsense_mediated_decay",NA,"1","4","ENSE00002724016","1",NA,NA,NA,TRUE
"ENSG00000002919.2429133","17","havana","exon",48112751,48112873,"+","ENSG00000002919","14","SNX11","ensembl_havana","protein_coding","ENST00000583320","5","SNX11-212","havana","nonsense_mediated_decay",NA,"3","4","ENSE00003480809","1",NA,NA,NA,TRUE
"ENSG00000003056.1790206","12","havana","exon",8943405,8943584,"-","ENSG00000003056","8","M6PR","ensembl_havana","protein_coding","ENST00000543258","1","M6PR-208","havana","nonsense_mediated_decay","cds_start_NF","5","4","ENSE00002259906","1",NA,NA,NA,TRUE
"ENSG00000003147.1061526","7","havana","exon",8113593,8114044,"-","ENSG00000003147","19","ICA1","ensembl_havana","protein_coding","ENST00000650486","1","ICA1-219","havana","nonsense_mediated_decay",NA,NA,"14","ENSE00003835419","1",NA,NA,NA,TRUE
"ENSG00000003147.1061609","7","havana","exon",8227638,8227851,"-","ENSG00000003147","19","ICA1","ensembl_havana","protein_coding","ENST00000455539","5","ICA1-213","havana","nonsense_mediated_decay",NA,"1","5","ENSE00001726256","1",NA,NA,NA,TRUE
"ENSG00000003147.1061814","7","havana","exon",8223488,8223559,"-","ENSG00000003147","19","ICA1","ensembl_havana","protein_coding","ENST00000457755","5","ICA1-214","havana","nonsense_mediated_decay",NA,"3","5","ENSE00001616334","1",NA,NA,NA,TRUE
"ENSG00000003249.2324372","16","ensembl_havana","exon",90011584,90011696,"-","ENSG00000003249","13","DBNDD1","ensembl_havana","protein_coding","ENST00000568330","2","DBNDD1-204","ensembl_havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002601953","1",NA,NA,NA,TRUE
"ENSG00000003393.433287","2","havana","exon",201719986,201720128,"-","ENSG00000003393","15","ALS2","ensembl_havana","protein_coding","ENST00000439495","5","ALS2-204","havana","nonsense_mediated_decay","cds_start_NF","2","15","ENSE00001605458","1",NA,NA,NA,TRUE
